Photo,Estimate,Group
1,37,1
2,37,1
3,33,1
4,38,1
5,41,1
6,36,1
7,60,1
8,29,1
1,38,2
2,34,2
3,39,2
4,36,2
5,44,2
6,39,2
7,63,2
8,33,2
1,34,3
2,30,3
3,30,3
4,33,3
5,35,3
6,35,3
7,60,3
8,28,3
1,35,4
2,35,4
3,31,4
4,32,4
5,45,4
6,33,4
7,57,4
8,38,4
1,39,5
2,35,5
3,35,5
4,32,5
5,43,5
6,35,5
7,57,5
8,35,5
1,33,6
2,31,6
3,29,6
4,31,6
5,40,6
6,36,6
7,62,6
8,29,6
1,39,7
2,29,7
3,36,7
4,31,7
5,51,7
6,36,7
7,56,7
8,35,7
1,36,8
2,33,8
3,35,8
4,34,8
5,31,8
6,32,8
7,56,8
8,31,8
